sweep_id,example_idx,prompt,expected,output,correct,cell_accuracy,injected_error_count,injected_error_remasked_count,false_remasked_cell_count,correct_cell_opportunity_count,model_generated_error_count,model_generated_error_remasked_count
low_confidence_steps8,1,7180*86=,7180*86=617480,7180*86=617480,True,,0,0,0,5,0,0
low_confidence_steps8,2,6162+264=,6162+264=6426,6162+264=6426,True,,0,0,0,3,0,0
low_confidence_steps8,3,5656-212=,5656-212=5444,5656-212=5444,True,,0,0,0,3,0,0
low_confidence_steps8,4,8567-4801=,8567-4801=3766,8567-4801=3766,True,,0,0,0,3,0,0
low_confidence_steps8,5,3300*725=,3300*725=2392500,3300*725=2392500,True,,0,0,0,6,0,0
low_confidence_steps16,1,7180*86=,7180*86=617480,7180*86=617480,True,,0,0,0,5,0,0
low_confidence_steps16,2,6162+264=,6162+264=6426,6162+264=6426,True,,0,0,0,3,0,0
low_confidence_steps16,3,5656-212=,5656-212=5444,5656-212=5444,True,,0,0,0,3,0,0
low_confidence_steps16,4,8567-4801=,8567-4801=3766,8567-4801=3766,True,,0,0,0,3,0,0
low_confidence_steps16,5,3300*725=,3300*725=2392500,3300*725=2392500,True,,0,0,0,6,0,0
remdm_conf_steps16_rescale0.25_ton0.5_toff0.0_cap1.0,1,7180*86=,7180*86=617480,7180*86=617480,True,,0,0,0,5,0,0
remdm_conf_steps16_rescale0.25_ton0.5_toff0.0_cap1.0,2,6162+264=,6162+264=6426,6162+264=6426,True,,0,0,0,3,0,0
remdm_conf_steps16_rescale0.25_ton0.5_toff0.0_cap1.0,3,5656-212=,5656-212=5444,5656-212=5444,True,,0,0,0,3,0,0
remdm_conf_steps16_rescale0.25_ton0.5_toff0.0_cap1.0,4,8567-4801=,8567-4801=3766,8567-4801=3766,True,,0,0,0,3,0,0
remdm_conf_steps16_rescale0.25_ton0.5_toff0.0_cap1.0,5,3300*725=,3300*725=2392500,3300*725=2392500,True,,0,0,0,6,0,0
remdm_conf_steps16_rescale0.25_ton0.8_toff0.0_cap1.0,1,7180*86=,7180*86=617480,7180*86=617480,True,,0,0,0,5,0,0
remdm_conf_steps16_rescale0.25_ton0.8_toff0.0_cap1.0,2,6162+264=,6162+264=6426,6162+264=6426,True,,0,0,0,3,0,0
remdm_conf_steps16_rescale0.25_ton0.8_toff0.0_cap1.0,3,5656-212=,5656-212=5444,5656-212=5444,True,,0,0,0,3,0,0
remdm_conf_steps16_rescale0.25_ton0.8_toff0.0_cap1.0,4,8567-4801=,8567-4801=3766,8567-4801=3766,True,,0,0,0,3,0,0
remdm_conf_steps16_rescale0.25_ton0.8_toff0.0_cap1.0,5,3300*725=,3300*725=2392500,3300*725=2392500,True,,0,0,1,6,0,0
